,AV ACM - DETRAN [$NO_2$ (µg/m3)],AV BARROS REIS [$NO_2$ (µg/m3)],BOTELHO [$NO_2$ (µg/m3)],CAMPO GRANDE [$NO_2$ (µg/m3)],DIQUE DO TORORÓ [$NO_2$ (µg/m3)],GAMBOA [$NO_2$ (µg/m3)],ITAIGARA [$NO_2$ (µg/m3)],MALEMBÁ [$NO_2$ (µg/m3)],PARALELA-CAB [$NO_2$ (µg/m3)],PIRAJÁ [$NO_2$ (µg/m3)],RIO VERMELHO [$NO_2$ (µg/m3)]
2011,,,,26.238933023433873,31.59061231734377,,,,21.290732963991715,23.33865007460897,23.52242002578032
2012,,,,28.45572869321335,18.948117432377305,,,,21.36743506364734,26.431347225743394,23.60382805218321
2013,21.383607410512823,17.829176467424087,,23.82749328467016,14.574178629555373,,17.627852659129815,,17.991420931366665,20.643390062100313,17.966521156255
2014,22.723200548842794,23.68022757050317,,21.026116007401658,14.166560953154162,,14.46722712871494,,17.535103388013706,20.582483415414462,17.500140494674934
2015,26.451098074518548,27.14889575261884,,21.91681549138127,15.33823294173331,,17.582700254902225,,21.06834483475883,20.40593378000582,25.918425770815432
2016,,,6.288880123980135,,,,,17.505726414418486,,,
2017,,,6.437597817199847,,,,,8.648148329520131,,,
2018,,,11.583917530077377,,,4.369415585120721,,7.52567662888579,,,
2019,,,10.753910769733611,,,4.91434122218297,,6.600851289297066,,,
2020,,,,,,5.126948051948049,,7.844904458598727,,,
